تصنيف المستوى الأول,تصنيف المستوى الثاني,الاستفسارات الظاهرة للمستفيد الخارجي,الكلمات المفتاحية للاستفسار,الإجابة,الاستفسار بصياغة أخرى - 1,الاستفسار بصياغة أخرى - 2,الاستفسار بصياغة أخرى - 3
مستوى التعليم العام,شؤون الطلاب  والطالبات,"أين تعد أسئلة الاختبارات المركزية ؟
",اختبار - مركزي - مسؤول - اعداد- وزارة - أسئلة,تعد من قبل اللجنة المشكلة من قبل مدير التعليم.,مين المسؤول عن الإختبارات المركزية ؟   كيف تعد أسئلة الإختبارات المركزية ؟,اعداد الاختبارات المركزية من وين؟,اي جهة اللي مسؤولة عن الاختبارات  المركزية ؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,"من يقوم بتصحيح اسئلة اختبارات الوزارة ؟
",اختبار - مسؤول - مركزي - أسئلة - وزارة,يكون التصحيح والرصد داخل المدرسة من قبل معلمي ومعلمات المادة.,مين اللي يصحح أسئلة اختبارات الوزارة ؟                                                 من المسؤول عن تصحيح أسئلة اختبارات الوزارة ؟ ,من الجهة المسؤولة عن تصحيح اختبارات الوزارة؟,هل فيه جهة مسؤولة عن تصحيح اختبارات الوزارة ؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,"ماهي المرحلة والصف التي يطبق عليها الاختبارات المركزية في الوزارة ؟
",مرحلة - اختبار - وزارة - تطبيق - مركزي - أسئلة,"المرحلة المتوسطة بصفوفها الثلاثة أولى، وثاني، وثالث، لـ (طلاب الانتساب والليلي و الانتظام)",وش المراحل اللي يطبقون عليها اختبارات الوزارة ؟                                  هل جميع المراحل تطبق عليها أسئلة الإختبارات المركزية ؟,اي صف اللي يطبقون عليه الاختبارات المركزية ؟,اسئلة الاختبارات المركزية لاي صف واي مرحلة؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,"هل الاختبارات المركزية تتم من قبل المدرسة؟
",اختبار - مركزي - - مدرسة ," الاختبارات المركزية ليست اختبارات مستقلة إنما هي اختيار مادة واحدة لكل مرحلة من المراحل المتوسطة فقط واختبارهم فيها بأسئلة من الوزارة بدلاً عن أسئلة المدرسة وفي موعد الاختبار المحدد من المدرسة .
",الإختبارات المركزية تصير من المدرسة ؟                    ما آلية الإختبارات المركزية ؟,الاختبارات المركزية وش طريقتها؟,ماهي الية الاختبارات المركزية؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,"هل مواد التقويم المستمر مشمولة في الاختبارات المركزية للوزارة ؟
",اختبار - مركزي - تقويم -  مستمر - يشمل - وزارة,"مواد التقويم المستمر غير مشمولة، ولا يتم اختيار إحداها للاختبار المركزي.",هل يتم تطبيق الإختبارات المركزية على مواد التقويم المستمر ؟  موادالتقويم المستمر تشمل الإختبارات المركزية من الوزارة ؟,مواد التقويم المستمر مشمولة في الاختبارات المركزية أو لا ؟,الاختبرات المركزية هل هي شاملة التقويم المستمر ؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,هل تطبق الاختبارات المركزية على التربية الخاصة؟,مركزي - اختبار - تربي - خاص - تطبيق,لا تطبق  الاختبارات المركزية على التربية الخاصة,التربية الخاصه هل يشملهم الاختبارات المركزية ؟                                    التربية الخاصة يختبرون الإختبارت المركزية ؟,طلاب التربية الخاصة تنطبق عليهم الاختبارات المركزية ؟,طالبات التربية الخاصة تنطبق عليهم الاختبارات المركزية؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,"كيف يتم اختيار مواد مدارس تحفيظ القران لإختبارات الوزارة ؟
",مدارس - تحفيظ - قرآن - وزارة - اختبار - اختيار ,يتم وضع أسئلة خاصة لها في المادة المختارة.,شلون يختارون مواد مدارس تحفيظ القرآن لإختبارت الوزارة ؟        آلية اختيار مواد مدارس تحفيظ القرآن لإختبارات الوزارة ؟,وشلون بيحطون اسئلة لمدارس تحفيظ القران في الاختبارات المركزية؟,هل بيعدون اسئلة خاصة لمدارس تحفيظ القران؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,"من يقوم بتصوير اسئلة اختبارات الوزارة وتوزيعها ؟
",اختبار - تصوير - توزيع  - أسئلة - وزارة ,"تقوم اللجنة المشكلة بعد وضع الأسئلة بتسليمها مع نماذج الإجابة في ظرف مغلق لقادة المدرسة قبل عشرة أيام من  الاختبارت، وتكون سريتها وتصويرها مسؤولية المدرسة.",من المسؤول عن تصوير  و توزيع أسئلة اختبارات الوزارة ؟                   مين مسؤول عن تصوير أسئلة الوزارة ؟,من اللي بيصور اختبار الوزارة؟,مسؤولية مين تصوير الاختبارات ؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,"ماهو الإجراء المتبع في حال تسربت أسئلة الاختبارات المركزية للوزارة ؟
",اختبار - وزارة - تسريب - حل - اجراء - مركزي - أسئلة ,"يستخدم نموذج أسئلة بديل، يتم إعداده مسبقاً من اللجنة، ويحتفظ به لديها لحين  الحاجة اليها.",وش يصير لو تسربت أسئلة الإختبارات المركزية للوزارة ؟                        من الحل في حال تم تسريب أسئلة اختبارت الوزارة ؟,وش الاجراء اللي بيصير اذا تسربت الاسئلة ؟,هل الوزارة عندها اجراءات اذا تسربت الاسئلة؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,"من يقوم بوضع جدول اختبارات الوزارة وتحديده ؟
",جدول - وزارة - اختبا ر - وزارة -تحديد - مسؤول ,تقوم المدرسة بوضع الجدول  بعد أن  تحدد إدارة التعليم المادة المركزية ويوم اختبارها.,مين يحدد جدول اختبارات الوزارة ؟                                                          من المسؤول بوضع و تحديد جدول اختبارات الوزارة ؟,من اللي يحط جدول الاختبارات حقت الوزارة؟,جدول الاختبارات مسؤولية مين ؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,"هل تطبق الاختبارات المركزية للوزارة على الحد الجنوبي؟
",تطبيق - اختبار - مركزي - حد - جنوبي - وزارة ,"لا، لاتطبق الاختبارات المركزية للوزارة على الحد الجنوبي",يطبقون الإختبارات المركزية  للوزارة على اللي بالحد الجنوبي ولا ؟        هل يتم تطبيق الإختبارات المركزية للوزارة لمن هم بالحد الجنوبي ؟,الحد الجنوبي محدد له اختبار مركزي أو لا ؟,سكان الحد الجنوبي لهم اختبارات مركزية ؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,"كم مادة يطبق فيها الاختبارت المركزية للوزارة ؟
",تطبيق - مادة - مركز ي- كم - عدد- اختبار - وزارة,يتم تطبيق مادة واحدة لكل مرحلة ,كم مادة يطبقون الإختبارات المركزية للوزارة  ؟  كم عدد المواد التي يتم تطبيق فيها أسئلة الإختبارات المركزية للوزارة ؟                   , كم مادة يتم تطبيق عليها الاختبار ؟,كم عدد المواد في الاختبارات المركزية ؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,هل يمكن إعفاء الموهوبين و الموهوبات من قيد اللغة الإنجليزية ؟,موهب - اعفاء - لغة- انجليزي ,"تحتاج هذه الفئة إلى الإلمام باللغة الإنجليزية ، حيث أن بعض البرامج التي تنفذ للموهوبين يفضل فيها اتقان الطالبة للغة الإنجليزية وهذا يزيد من دافعيته للتعلم وتطوير ذاته في مجال اللغة و هو أمر مهم ",هل يوجد اعفاء للغة الانجليزية للموهوبين ؟       ,     الموهوبين و الموهوبات عادي يعفونهم من قيد اللغه الإنجليزية ,هل من الممكن إعفاء الموهبين والموهبات من قيد اللغة
مستوى التعليم العام,شؤون الطلاب  والطالبات,ماهي مؤسسة مركز الموهوبين بالرياض ؟,مركز - رئاسة - موهوب - رياض,"هي مؤسسة تربوية تعليمية تعنى بتقديم الخدمات المتخصصة للطلاب الموهوبين، من خلال البرامج التي تقدم في المركز مباشرة أو بالتعاون مع الجهات الحكومية والمؤسسات الأهلية  
للتفاصيل اكثر  من خلال الرابط التالي 
https://edu.moe.gov.sa/Riyadh/Departments/AffairsEducationalAssistant/talents/Pages/gc.aspx
",وش  مؤسسة مركز الموهوبين بالرياض ؟                          ماهي المعلومات حول مؤسسة مركز الموهوبين بالرياض ؟,ماهي مؤسسة مركز الموهوبين بالرياض ؟     ,هل هناك مركز لرعاية الموهوبين في الرياض؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,هل يوجد اختبارات من الوزارة ؟,اختبار - وزارة - تطبيق - موجود,نعم اختبار مادة واحدة لكل صف من المرحلة المتوسطة فقط.,هل تطبق اختبارات الوزارة ؟    اختبارات الوزارة موجودة ولا ؟,فيه اختبارت من الوزارة ؟,الوزارة لها اختبارات ؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,"كيف يمكن الحصول على نتائج طالبات المركز التعليمي في الخارج ؟
",نتائج - حصول - مركز - تعليمي - خارج - طالبات,يجب التقدم لجهة الاختصاص بالوزارة ,شلون احصل على نتائج طالبات المركز التعليمي في الخارج ؟                         آلية الحصول على نتائج طالبات المركز التعليمي في الخارج ؟,ماهي كيفية الحصول على نتائج المركز التعليمي خارج المملكة ؟,كيف احصل على نتايج المركز التعليمي ؟
